sample_id,assigned_cluster,best_correlation,second_best_correlation,confidence_gap,high_confidence
MB-0656,SNF_C3,0.42864583341246215,-0.0864227206255567,0.5150685540380189,TRUE
MB-0154,SNF_C2,0.24465805994547238,0.055060839507425394,0.189597220438047,TRUE
MB-0597,SNF_C2,0.44546645699425275,-0.05784420400755931,0.5033106610018121,TRUE
MB-0550,SNF_C1,0.002685753591516033,7.433749570033469e-4,0.0019423786345126861,FALSE
MB-0616,SNF_C1,0.25673504949929177,-0.09541282763591083,0.35214787713520257,TRUE
MB-0448,SNF_C1,0.2621042559371267,-0.07073345403823782,0.33283770997536455,TRUE
MB-0412,SNF_C1,0.22576722113838651,-0.0016967639790166386,0.22746398511740315,TRUE
MB-0122,SNF_C2,0.2882432040874156,0.10428498224616493,0.18395822184125066,TRUE
MB-0425,SNF_C2,0.2014702710150787,0.11609099137467944,0.08537927964039925,TRUE
MB-0314,SNF_C3,0.10431942737101225,-0.027926323544919203,0.13224575091593146,TRUE
MB-0356,SNF_C2,0.1674702377768637,0.06601752312577062,0.10145271465109308,TRUE
MB-0440,SNF_C1,0.2654841122251227,-0.08145978357531529,0.346943895800438,TRUE
MB-0398,SNF_C3,0.07321471693548381,-0.013160002685812069,0.08637471962129588,TRUE
MB-0438,SNF_C3,0.17455744640808576,-0.005035075872197717,0.1795925222802835,TRUE
MB-0449,SNF_C2,0.1846890075722352,0.16427167454094393,0.020417333031291257,FALSE
MB-0162,SNF_C2,0.24162521388865468,0.1601402270236543,0.08148498686500039,TRUE
MB-0593,SNF_C3,0.24908356177495036,0.029072857990656075,0.2200107037842943,TRUE
MB-0301,SNF_C1,0.18116141902359745,0.10871776300082156,0.07244365602277589,TRUE
MB-0628,SNF_C1,0.10847624094291636,0.007459382187611719,0.10101685875530464,TRUE
MB-0283,SNF_C1,0.11789875743727357,0.00605208547985532,0.11184667195741825,TRUE
MB-0106,SNF_C2,0.19449175717665287,0.03404128661800998,0.1604504705586429,TRUE
MB-0341,SNF_C2,0.1425356541703869,-0.04296081796563329,0.1854964721360202,TRUE
MB-0474,SNF_C1,0.07831145933213561,0.015650855361759863,0.06266060397037575,TRUE
MB-0394,SNF_C1,0.164519509194434,0.03377108173717988,0.13074842745725412,TRUE
MB-0373,SNF_C3,0.05667131726150378,0.047561113618269424,0.009110203643234359,FALSE
MB-0247,SNF_C2,0.3243110468973615,-0.06999861079825327,0.39430965769561477,TRUE
MB-0225,SNF_C1,0.2771631891612666,-0.14122462927809346,0.41838781843936,TRUE
MB-0424,SNF_C2,0.38066480859529306,0.09433626908113908,0.286328539514154,TRUE
MB-0209,SNF_C2,0.28137565915763146,0.11559999686419005,0.16577566229344143,TRUE
MB-0115,SNF_C3,0.5233844306446153,-0.2373001994079292,0.7606846300525445,TRUE
MB-0136,SNF_C2,0.2470361824486523,-0.04251091027269199,0.28954709272134427,TRUE
MB-0542,SNF_C3,0.13397196283938437,0.07331446695346572,0.06065749588591865,TRUE
MB-0354,SNF_C3,0.3157299215274345,0.08551535859996026,0.23021456292747425,TRUE
MB-0151,SNF_C1,0.237367054084705,-0.057237457969968965,0.294604512054674,TRUE
MB-0590,SNF_C1,0.2638706609807794,0.019370147119169706,0.24450051386160968,TRUE
MB-0608,SNF_C3,0.4410213980284104,-0.18544583578635235,0.6264672338147628,TRUE
MB-0657,SNF_C2,0.41880115333993206,0.0058671606588243065,0.41293399268110775,TRUE
MB-0559,SNF_C1,0.35475512003663834,-0.10978208233403183,0.4645372023706702,TRUE
MB-0893,SNF_C2,0.23095689094471025,0.1681577839147644,0.06279910702994584,TRUE
MB-0514,SNF_C1,0.17398816942697498,0.05205490674341676,0.12193326268355822,TRUE
MB-0395,SNF_C3,0.1288249859921834,-0.053015031481650925,0.18184001747383433,TRUE
MB-0294,SNF_C2,0.31468242813835173,0.03996826123347719,0.27471416690487455,TRUE
MB-0439,SNF_C1,0.32774759109673846,-0.14047615702783198,0.46822374812457046,TRUE
MB-0481,SNF_C3,0.45163146673775245,-0.17489769324818646,0.6265291599859389,TRUE
MB-0529,SNF_C1,0.21460230714494577,0.12816631753977267,0.0864359896051731,TRUE
MB-0224,SNF_C2,0.3108606813165369,-0.08856603139751971,0.3994267127140566,TRUE
MB-0302,SNF_C2,0.4024151093087158,-0.06785054730952318,0.470265656618239,TRUE
MB-0126,SNF_C1,0.17333297017889432,0.046664053771896793,0.1266689164069975,TRUE
MB-0220,SNF_C2,0.31585707645002636,0.22171262327823937,0.09414445317178699,TRUE
MB-0192,SNF_C2,0.20379278794093972,0.18432432424710735,0.019468463693832372,FALSE
MB-0121,SNF_C1,0.19450750167845857,0.05043393466103362,0.14407356701742494,TRUE
MB-0239,SNF_C2,0.22104994885243281,-0.040548201647713424,0.26159815050014623,TRUE
MB-0364,SNF_C2,0.3812978901480072,-0.05213775422239824,0.43343564437040544,TRUE
MB-0232,SNF_C1,0.2072982147837452,0.09141801955552224,0.11588019522822295,TRUE
MB-0884,SNF_C1,0.20511994454273486,-0.03994732996420266,0.24506727450693752,TRUE
MB-0238,SNF_C3,0.4685597566038479,-0.23767569802742572,0.7062354546312737,TRUE
MB-0194,SNF_C2,0.27662367349256867,-0.04146178846607232,0.31808546195864096,TRUE
MB-0882,SNF_C1,0.29348772931669925,-0.14863446478247713,0.4421221940991764,TRUE
MB-0010,SNF_C1,0.15463312459988085,-0.013159082464053125,0.16779220706393397,TRUE
MB-0236,SNF_C2,0.14856602925814327,-0.008116448286713726,0.156682477544857,TRUE
MB-0377,SNF_C2,0.484357820606489,-0.06697863767539028,0.5513364582818793,TRUE
MB-0123,SNF_C1,0.11822972921365464,-0.03980179036672762,0.15803151958038225,TRUE
MB-0504,SNF_C2,0.36257690359049277,0.05695164861770862,0.30562525497278414,TRUE
MB-0564,SNF_C3,0.14970775174825374,-0.034487786256851484,0.1841955380051052,TRUE
MB-0475,SNF_C2,0.07189054727295709,0.012024201777716646,0.05986634549524044,TRUE
MB-0321,SNF_C1,0.23385292745583877,-0.09568826775157396,0.32954119520741276,TRUE
MB-0482,SNF_C3,0.19579545986950767,0.08851576083552579,0.10727969903398188,TRUE
MB-0101,SNF_C2,0.17907643527969105,-0.03509148651725682,0.21416792179694788,TRUE
MB-0662,SNF_C3,0.20145136457522586,0.02279913475211224,0.17865222982311363,TRUE
MB-0291,SNF_C1,0.05046288215735902,-0.008075814691332834,0.058538696848691854,TRUE
MB-0465,SNF_C3,0.03765440450639209,0.016008783853525898,0.021645620652866192,FALSE
MB-0630,SNF_C1,0.23705334997494548,-0.04260193520724964,0.2796552851821951,TRUE
MB-0036,SNF_C1,0.26773121944344863,1.0991179708842582e-4,0.2676213076463602,TRUE
MB-0166,SNF_C1,0.1438648504575082,0.1322293274890807,0.011635522968427486,FALSE
