full_barcode,PC1,PC2,PC3,PC4,PC5,PAM50
TCGA-A2-A04X-01A-21R-A034-07,-5.4814806968455585,-13.562068902105278,-46.39433897763674,-12.204706895585499,-13.970590008564614,Her2
TCGA-A2-A04Y-01A-21R-A034-07,8.308595668938395,-9.776796407405534,-11.982566042590186,-1.0340503152340705,10.15430103682185,LumB
TCGA-A2-A0CK-01A-11R-A22K-07,17.66903743276452,-22.398099964593136,19.51723302886824,21.285473318822888,-1.1477357730548179,LumA
TCGA-A2-A0CL-01A-11R-A115-07,-24.48446042455624,-28.246937110625105,-35.31053791225688,18.795478440727354,5.717410696209897,Normal
TCGA-A2-A0CM-01A-31R-A034-07,-80.35893829742524,21.289253991748623,-15.074994163039568,9.969379796754641,-13.615131709391997,Basal
TCGA-A2-A0CO-01A-13R-A22K-07,6.3328014962049295,-41.612758295983745,23.526785890326792,6.2299210786965284,-8.40579527566655,LumA
TCGA-A2-A0CP-01A-11R-A034-07,4.376194536870288,-28.932453228545,19.347514023858643,3.872002553944713,16.18426249386511,LumA
TCGA-A2-A0CQ-01A-21R-A034-07,50.03844197558175,18.030849490780064,18.589673232893187,-11.738853436366373,-28.150361324217837,LumA
TCGA-A2-A0CR-01A-11R-A22K-07,-14.78100428270718,-56.34694981126928,4.6072369528066295,6.643914257039971,-6.106163869682671,LumA
TCGA-A2-A0CS-01A-11R-A115-07,50.32807120057015,21.792410321699307,22.332729983344297,-22.383535605455915,-13.226396241245364,LumA
TCGA-A2-A0CT-01A-31R-A056-07,15.124257736597688,18.603233011231254,-5.663214304139886,10.09142442264312,34.83415407344275,LumA
TCGA-A2-A0CU-01A-12R-A034-07,34.12878611604589,7.251595258944391,12.722165590965396,27.80088096744778,21.929628949522108,LumA
TCGA-A2-A0CV-01A-31R-A115-07,-0.2425901628944362,-28.936539767002177,22.38832894403471,-3.2072352058296927,-15.708493097970798,LumA
TCGA-A2-A0CW-01A-21R-A115-07,13.108946985617626,16.321036937648636,-23.2995238660031,-9.286896986642732,17.965219811901168,LumB
TCGA-A2-A0CX-01A-21R-A00Z-07,-13.33728752631127,2.1252917150170654,-15.699524978829313,-41.94148004052299,9.572364766316605,Her2
TCGA-A2-A0CY-01A-12R-A034-07,-14.410815931121947,45.639083476361996,19.12936760092134,-25.022373073284566,11.78173406806213,LumB
TCGA-A2-A0CZ-01A-11R-A034-07,-15.220286981456098,-39.575526928574554,9.752333566461225,16.712843089836614,12.479497523945811,Normal
TCGA-A2-A0D0-01A-11R-A00Z-07,-69.54343465045095,53.574761890932145,17.36625619392088,-4.646089238329698,-4.990391743663113,Basal
TCGA-A2-A0D1-01A-11R-A034-07,-5.521888863870761,35.84312940803545,-23.185207818321157,-17.884739811791306,14.865808461918256,Her2
TCGA-A2-A0D2-01A-21R-A034-07,-72.59520248914674,12.111663506401365,3.6643533321641595,16.815818347302994,-10.54845294830097,Basal
TCGA-A2-A0D3-01A-11R-A115-07,19.1522728995948,-7.7254584856039665,-1.982591122231389,-14.05314105246815,-15.57988606044766,LumA
