gene_id,variance
ENSG00000159184.8,8.786657772426175
ENSG00000047457.14,8.755784450241514
ENSG00000286208.1,8.742400679443838
ENSG00000226278.1,8.737587971458654
ENSG00000135374.11,8.734948026611354
ENSG00000186526.13,8.71582707986069
ENSG00000166426.8,8.670362799391146
ENSG00000205420.11,8.645155699669166
ENSG00000101210.13,8.638602182815978
ENSG00000130294.17,8.570366960600587
ENSG00000134827.8,8.49377459481503
ENSG00000211899.10,8.484743233995903
ENSG00000134757.5,8.483083339195893
ENSG00000167754.13,8.47809292490465
ENSG00000135346.9,8.44181831812604
ENSG00000022556.16,8.440103843161241
ENSG00000124143.10,8.391296635232814
ENSG00000125999.11,8.384466939598155
ENSG00000256870.3,8.37798759641629
ENSG00000133169.6,8.35990597297404
ENSG00000100362.13,8.355388315854803
ENSG00000141668.10,8.275790537989515
ENSG00000175356.14,8.263281332121991
ENSG00000223808.1,8.242016641977065
ENSG00000179023.8,8.217420304672267
ENSG00000162670.11,8.182736513813337
ENSG00000170323.9,8.160863844918143
ENSG00000101098.13,8.15668886379362
ENSG00000255974.8,8.126141620427815
ENSG00000104332.12,8.086092667307264
ENSG00000181143.15,8.082229973048213
ENSG00000166006.14,8.055175101658628
ENSG00000074211.14,8.043801809807153
ENSG00000186910.4,8.032099475561873
ENSG00000161798.7,8.015462812760148
ENSG00000224559.2,8.0055390367471
ENSG00000163220.11,7.946352920906149
ENSG00000233622.3,7.931574163938725
ENSG00000171102.14,7.912765057607952
ENSG00000003989.18,7.847418140530701
ENSG00000211673.2,7.838475659080491
ENSG00000143546.10,7.823149113913721
ENSG00000102854.16,7.8195751625403735
ENSG00000211945.2,7.794799252787978
ENSG00000145451.13,7.791854872517814
ENSG00000078898.7,7.737856359861505
ENSG00000174469.23,7.716937500632253
ENSG00000211592.8,7.706683310419554
ENSG00000248779.1,7.702490012391299
ENSG00000211662.2,7.617573420233512
ENSG00000102243.13,7.604203473135375
ENSG00000211598.2,7.569627262550513
ENSG00000211890.4,7.563825529194438
ENSG00000189377.9,7.547337343120888
ENSG00000156234.7,7.544779187549892
ENSG00000235584.3,7.537703933025514
ENSG00000184811.4,7.5264914789178405
ENSG00000124939.6,7.512575241562602
ENSG00000161634.12,7.503882069362072
ENSG00000122584.13,7.486412050292465
ENSG00000183888.4,7.482772729621517
ENSG00000164326.5,7.45087412053331
ENSG00000249203.2,7.445999509789118
ENSG00000163993.7,7.426597940263856
ENSG00000287900.1,7.42182983194245
ENSG00000198788.9,7.416158096935934
ENSG00000204434.6,7.41582614683179
ENSG00000188488.14,7.375853986882119
ENSG00000211659.2,7.368162186764585
ENSG00000211947.2,7.358992137991785
ENSG00000243466.1,7.329121460027224
ENSG00000105048.17,7.323496955360449
ENSG00000168269.10,7.311474917270646
ENSG00000211663.2,7.308936288387982
ENSG00000123407.4,7.298794746061793
ENSG00000170373.8,7.286652664173664
ENSG00000170743.17,7.261546810145105
ENSG00000211666.2,7.239379228926465
ENSG00000211959.2,7.233926288616875
ENSG00000211897.9,7.230220957612454
ENSG00000211935.3,7.221719618657234
ENSG00000134258.17,7.221011009672751
ENSG00000197977.4,7.217051072072021
