k,view,SNF_fused,naive_concatenation,baseline_ari,fused_minus_concat,fused_minus_baseline,concat_minus_baseline
2,dorothea_AC_edgeperm__mlm,0.3909641505153824,0.40875109834425766,0.4021180623382205,-0.017786947828875244,-0.011153911822838092,0.006633036006037152
3,dorothea_AC_edgeperm__mlm,0.34104317360333064,0.3102030748341273,0.3053098462032744,0.03084009876920335,0.03573332740005625,0.004893228630852897
2,dorothea_AB_edgeperm__mlm,0.419696880521105,0.4049332745027021,0.4021180623382205,0.014763606018402875,0.01757881818288448,0.0028152121644816064
3,dorothea_AB_edgeperm__mlm,0.3228558751243547,0.30466394666340946,0.3053098462032744,0.01819192846094525,0.017546028921080314,-6.458995398649359e-4
2,collectri_edgeperm__mlm,0.3735829091996733,0.4116519138620977,0.4021180623382205,-0.03806900466242441,-0.02853515313854721,0.009533851523877201
3,collectri_edgeperm__mlm,0.3238077719862391,0.3126827014104472,0.3053098462032744,0.011125070575791929,0.01849792578296472,0.00737285520717279
2,dorothea_AC__norm_wsum,0.4122343304340487,0.4101907545669643,0.4021180623382205,0.002043575867084424,0.010116268095828218,0.008072692228743794
3,dorothea_AC__norm_wsum,0.323388841556725,0.3137783934675235,0.3053098462032744,0.009610448089201473,0.01807899535345059,0.008468547264249116
2,dorothea_AB__norm_wsum,0.4364652431233694,0.403521149896016,0.4021180623382205,0.032944093227353366,0.03434718078514887,0.0014030875577955015
3,dorothea_AB__norm_wsum,0.3337397038332585,0.30556006693022925,0.3053098462032744,0.02817963690302927,0.028429857629984123,2.5022072695485287e-4
2,collectri__norm_wsum,0.4094317583909457,0.41771597277767,0.4021180623382205,-0.008284214386724276,0.007313696052725194,0.01559791043944947
3,collectri__norm_wsum,0.32598043576729047,0.3053035257077729,0.3053098462032744,0.02067691005951755,0.020670589564016073,-6.320495501477286e-6
2,dorothea_AC_edgeperm__norm_wsum,0.4165596201905923,0.4087883627133614,0.4021180623382205,0.007771257477230897,0.014441557852371778,0.006670300375140881
3,dorothea_AC_edgeperm__norm_wsum,0.32880026923512257,0.3068166816915637,0.3053098462032744,0.02198358754355889,0.023490423031848173,0.001506835488289282
2,dorothea_AB_edgeperm__norm_wsum,0.4295931820678601,0.403521149896016,0.4021180623382205,0.026072032171844117,0.02747511972963962,0.0014030875577955015
3,dorothea_AB_edgeperm__norm_wsum,0.29498552415317625,0.30601541661774195,0.3053098462032744,-0.011029892464565705,-0.010324322050098145,7.055704144675601e-4
2,collectri_edgeperm__norm_wsum,0.3827935377372664,0.4246248313974113,0.4021180623382205,-0.04183129366014493,-0.01932452460095413,0.0225067690591908
3,collectri_edgeperm__norm_wsum,0.2984957202388043,0.29396374393135716,0.3053098462032744,0.0045319763074471164,-0.006814125964470119,-0.011346102271917236
2,dorothea_AC__consensus,0.41794174902128023,0.40875109834425766,0.4021180623382205,0.009190650677022572,0.015823686683059723,0.006633036006037152
3,dorothea_AC__consensus,0.3334933964819755,0.31325232316245283,0.3053098462032744,0.020241073319522684,0.02818355027870112,0.007942476959178435
2,dorothea_AB__consensus,0.4350733647066638,0.403521149896016,0.4021180623382205,0.031552214810647794,0.032955302368443296,0.0014030875577955015
3,dorothea_AB__consensus,0.32991317311216134,0.3062955314925698,0.3053098462032744,0.023617641619591567,0.024603326908886947,9.856852892953794e-4
2,collectri__consensus,0.4122482932241733,0.4157781065757741,0.4021180623382205,-0.003529813351600797,0.010130230885952773,0.01366004423755357
3,collectri__consensus,0.3264670949951274,0.3056365449288648,0.3053098462032744,0.02083055006626261,0.02115724879185299,3.266987255903797e-4
2,dorothea_AC_edgeperm__consensus,0.4091109048061231,0.4087883627133614,0.4021180623382205,3.2254209276172396e-4,0.006992842467902605,0.006670300375140881
3,dorothea_AC_edgeperm__consensus,0.33165143346497655,0.3113302049621961,0.3053098462032744,0.020321228502780453,0.02634158726170216,0.006020358758921707
2,dorothea_AB_edgeperm__consensus,0.4323007615774082,0.403521149896016,0.4021180623382205,0.028779611681392203,0.030182699239187705,0.0014030875577955015
3,dorothea_AB_edgeperm__consensus,0.2985197141387905,0.304777402402457,0.3053098462032744,-0.006257688263666461,-0.006790132064483867,-5.324438008174059e-4
2,collectri_edgeperm__consensus,0.38019260182398407,0.4128768747364375,0.4021180623382205,-0.03268427291245346,-0.02192546051423644,0.010758812398217021
