ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,k,cluster
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,158,-0.21303358268066294,-0.9392646154584214,0.5961538461538461,0.6932021466905188,0.29187458808021843,5444,"tags=30%, list=27%, signal=22%",TNFRSF12A/DNM1L/DDIT3/MCL1/CASP3/DAP3/ANKH/GCH1/DNAJA1/DAP/LMNA/BAX/CDK2/IL18/PLCB2/CASP4/GNA15/HMGB2/DFFA/FAS/CASP1/CFLAR/IRF1/IFNGR1/CD2/ISG20/APP/CASP2/BIRC3/CD14/EBP/SAT1/TSPO/FASLG/ANXA1/TNF/BCL2L10/IL1A/PPP3R1/CDC25B/PRF1/BID/BMP2/TAP1/CD38/CCNA1/BTG3,2,SNF_C1
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,35,-0.2610421048839365,-0.8888846351570222,0.6170520231213873,0.7011954808197584,0.2952402024504246,5236,"tags=40%, list=26%, signal=30%",ETS2/MYH9/HEY2/NRP2/DPYSL2/PTCH1/ADGRG1/TLE1/ACHE/L1CAM/VEGFA/VLDLR/PML/CDK6,2,SNF_C1
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,190,0.17112580491318335,0.8991592380168535,0.8206896551724138,0.8730741012472487,0.36761014789357843,4706,"tags=28%, list=23%, signal=22%",STC2/ADCY9/KCNH1/ERBB3/BHLHE40/CACNA1H/PPP1R3C/PVALB/HRC/SPDEF/CASQ1/SGCG/OCEL1/MEF2D/CACNG1/REEP1/LAMA2/VIPR1/HSPB8/SGCD/MYOG/CFD/CAMK2B/ITGB5/CASQ2/ATP6AP1/COX7A1/BAG1/MYH11/LARGE1/TSC2/RB1/AGL/CRAT/LDB3/MYL7/COL6A3/TNNT1/MYH8/FST/MYO1C/FKBP1B/PSEN2/ADAM12/MYL3/COL3A1/CD36/MYH1/BDKRB2/GNAO1/MYH4/AEBP1/SPARC,2,SNF_C1
HALLMARK_COAGULATION,HALLMARK_COAGULATION,122,-0.1969485998458425,-0.8334367528790215,0.8150943396226416,0.8730741012472487,0.36761014789357843,5085,"tags=25%, list=25%, signal=19%",GDA/MMP9/MEP1A/LAMP2/A2M/MMP15/CTSE/P2RY1/C3/C1R/C1S/CTSB/SIRT2/C2/GP1BA/C1QA/C8G/PREP/PLEK/LGMN/SERPINB2/FYN/MMP1/ANXA1/LEFTY2/KLK8/S100A1/SH2B2/TF/MMP7/CTSV,2,SNF_C1
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,32,-0.23022682599002925,-0.7719386516522726,0.7988505747126436,0.8730741012472487,0.36761014789357843,2481,"tags=16%, list=12%, signal=14%",APP/VEGFA/CXCL6/S100A4/TNFRSF21,2,SNF_C1
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,197,-0.18452901577620348,-0.8326472132263713,0.854630715123095,0.890240328253224,0.3748380329487259,4979,"tags=24%, list=25%, signal=18%",ME1/APOE/IDH3G/JAGN1/DECR1/RETN/PHYH/SLC19A1/CYC1/SDHB/C3/ACAA2/DLAT/SUCLG1/IMMT/ANGPTL4/COX7B/PFKL/MTCH2/CHCHD10/MDH2/ESRRA/PTCD3/COQ9/DHCR7/RIOK3/TALDO1/PREB/SCARB1/IFNGR1/TKT/TANK/POR/ORM1/NABP1/CMPK1/CDKN2C/PLIN2/ANGPT1/AK2/COQ3/MRPL15/PGM1/ATP1B3/MCCC1/SLC5A6/ATL2,2,SNF_C1
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,101,0.16440176939253573,0.794224616504278,0.9030837004405287,0.9215139800413558,0.38800588633320243,3264,"tags=18%, list=16%, signal=15%",INPP4B/BMPR1B/ELOVL5/CCND1/GPD1L/ABHD2/SPDEF/IQGAP2/STK39/KRT8/KLK3/SRP19/AKAP12/NKX3-1/MAK/APPBP2/SORD/KRT19,2,SNF_C1
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,54,0.10536841477476111,0.4480247882086217,1,1,0.4210526315789474,6120,"tags=33%, list=30%, signal=23%",PPM1A/RAB31/SMAD3/XIAP/APC/LTBP2/BMPR2/BCAR3/THBS1/ARID4B/NCOR2/TJP1/HIPK2/SKIL/SLC20A1/RHOA/CDH1/JUNB,2,SNF_C1
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,200,-0.5736659712075477,-3.1026627478505397,1e-10,5.555555555555555e-10,2.456140350877193e-10,2190,"tags=44%, list=11%, signal=40%",TOB1/DYNLT3/SLC1A4/TIPARP/KRT8/ELF1/DHRS2/CBFA2T3/CANT1/MUC1/ASB13/HSPB8/EGR3/AREG/REEP1/TJP3/RAB31/FLNB/SLC1A1/ITPK1/CELSR2/MYOF/AFF1/SCNN1A/AMFR/GJA1/AR/NHERF1/NRIP1/MSMB/KRT18/PEX11A/ABCA3/TFF3/EEIG1/PRSS23/ABHD2/MREG/TPBG/SIAH2/SLC27A2/ARL3/CISH/IGFBP4/BHLHE40/RET/CCND1/SEC14L2/ELOVL5/MED13L/RAB17/TTC39A/SEMA3B/MYB/BCL2/NPY1R/TFF1/IGF1R/ELOVL2/SLC19A2/MAST4/PDZK1/ADCY1/SYBU/RARA/LRIG1/ADCY9/GFRA1/MINDY1/UGCG/RETREG1/WFS1/ANXA9/MLPH/STC2/SLC7A2/GREB1/KCNK15/XBP1/SLC22A5/CELSR1/KDM4B/PGR/MAPT/IL6ST/CA12/ABAT/SLC39A6/THSD4,2,SNF_C2
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,200,0.6386961940804201,2.9057597100187422,1e-10,5.555555555555555e-10,2.456140350877193e-10,4545,"tags=66%, list=22%, signal=52%",CDKN2A/NASP/HMGA1/CTPS1/CDC20/NCAPD2/CCNE1/DEK/CDCA8/LBR/STMN1/ANP32E/MCM5/LYAR/CHEK1/MCM7/TUBB/KIF2C/RANBP1/AURKB/DONSON/PHF5A/MCM6/CKS1B/EZH2/CDC25A/MCM3/USP1/CDCA3/PRDX4/CHEK2/MELK/RAD51AP1/PLK1/CCNB2/ORC6/SSRP1/DEPDC1/TRIP13/RFC2/MSH2/TCF19/PRIM2/CDC25B/CNOT9/DDX39A/PTTG1/DSCC1/DCLRE1B/AK2/KIF18B/MMS22L/MYBL2/EED/SYNCRIP/MCM4/DLGAP5/SUV39H1/CDKN2C/BIRC5/POLD1/DIAPH3/CKS2/SMC6/MTHFD2/GINS3/TBRG4/UBE2S/ZW10/H2AZ1/DNMT1/SPC24/CDK4/MKI67/KIF4A/ILF3/TACC3/NUP205/MAD2L1/UBE2T/RFC3/PSIP1/PPP1R8/CDK1/JPT1/ASF1A/TRA2B/RRM2/HNRNPD/MCM2/AURKA/GINS4/GINS1/RNASEH2A/POP7/LMNB1/XRCC6/TK1/CDKN3/CENPE/PCNA/H2AX/BUB1B/KPNA2/ASF1B/HMMR/TIPIN/NOP56/RAN/PLK4/SPC25/CENPM/TFRC/TMPO/MYC/HMGB2/RPA1/SRSF2/UNG/BRCA2/EXOSC8/NOLC1/HELLS/E2F8/SMC4/XPO1/RPA2/POLA2/HMGB3/SLBP/ESPL1/CIT/SPAG5,2,SNF_C2
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,193,0.6164929241164829,2.805987010724221,1e-10,5.555555555555555e-10,2.456140350877193e-10,5037,"tags=68%, list=25%, signal=52%",CDKN2A/WARS1/LYN/HLA-DOB/TAP2/IFNAR2/RIPK2/EGFR/IL2RA/NCK1/GZMB/TAP1/IL27RA/CSK/CCL13/IFNG/PRF1/IL12RB1/IRF4/ICAM1/MAP4K1/CD7/CD79A/CCL5/TNF/CTSS/IL2RG/TLR6/ABI1/KLRD1/NCR1/LY75/SOCS1/CD40/LCK/LTB/MTIF2/FASLG/UBE2D1/CXCL9/IL12A/NCF4/WAS/IL18RAP/CCL4/CD247/CCR1/EIF5A/TLR1/TLR2/HLA-A/SIT1/IL15/HLA-E/ELF4/DARS1/RPS19/ZAP70/ITGB2/CD8B/CCL7/SRGN/CCR5/CD2/MRPL3/ACHE/PRKCB/CD3D/IFNGR1/CD3E/CCR2/FYB1/HCLS1/HLA-G/CXCR3/LCP2/CD96/CD3G/CD86/CD8A/CD47/ITK/C2/AARS1/FAS/GZMA/IL7/IRF8/PTPRC/HLA-DMA/CCND3/ETS1/CD80/CRTAM/TAPBP/HLA-DRA/LIF/SPI1/HLA-DMB/CD4/FLNA/STAT4/ABCE1/RPL39/FGR/CD28/CD40LG/STAT1/PSMB10/TRAT1/IL18/BCAT1/HLA-DOA/NOS2/GBP2/CD74/B2M/GLMN/EIF3D/IL10/IFNGR2/IGSF6/CCL2/HIF1A/FCGR2B/CCL19/ST8SIA4/CD1D/IL12B/ITGAL/MMP9,2,SNF_C2
