k,endpoint,view,label,n_boot_valid,point_estimate,ci90_lower,ci90_upper,ci95_lower,ci95_upper,sesoi,p_tost,p_two_sided,equivalent,superior,conclusion,mdd_80pct_power,p_two_sided_BH,p_tost_BH,superior_after_BH,equivalent_after_BH
3,cindex_adjusted,dorothea_AB__viper,cindex_adjusted:dorothea_AB__viper,1000,-6.659619895306641e-4,-0.0031084853796591147,0.0016505457803574972,-0.00401165622059334,0.0022470155286448373,0.02,0,0.62,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004174188774165594,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB_edgeperm__consensus,cindex_adjusted:dorothea_AB_edgeperm__consensus,1000,-0.0012981228311519694,-0.004264788394933956,0.0014172750053914513,-0.0051843470415364025,0.002253681931711818,0.02,0,0.438,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005056590529465374,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB_edgeperm__mlm,cindex_adjusted:dorothea_AB_edgeperm__mlm,1000,-7.692704728070864e-4,-0.002826701904534451,0.0013115739791649576,-0.0033627023881966063,0.001666235870578092,0.02,0,0.518,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.0035357428535667122,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB_edgeperm__norm_wsum,cindex_adjusted:dorothea_AB_edgeperm__norm_wsum,1000,-0.003167681846923734,-0.006285844471814494,-5.864391130287588e-4,-0.007314226882313052,3.431258909038149e-5,0.02,0,0.052,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005178035541823777,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB_edgeperm__ulm,cindex_adjusted:dorothea_AB_edgeperm__ulm,1000,-0.002703001746422007,-0.005950928534215599,0.00014498778817299889,-0.0070603890679161955,7.714360064181882e-4,0.02,0,0.118,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005372831091759269,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AB_edgeperm__viper,cindex_adjusted:dorothea_AB_edgeperm__viper,1000,-0.0023424038996936528,-0.005627334534027239,6.386607185761723e-4,-0.006467790552304258,0.0012240802096570023,0.02,0,0.186,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.005426055116322341,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC__consensus,cindex_adjusted:dorothea_AC__consensus,1000,6.554403395977925e-5,-0.0024862597784742423,0.002603891798923522,-0.003238712821088324,0.0032117486095404346,0.02,0,0.962,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.00441981136805403,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC__mlm,cindex_adjusted:dorothea_AC__mlm,1000,-1.3987640997844696e-4,-0.0022362236539424153,0.0018722586908324675,-0.002589117341629421,0.002313112503588504,0.02,0,0.916,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.003391872154998617,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC__norm_wsum,cindex_adjusted:dorothea_AC__norm_wsum,1000,-2.111962231508171e-4,-0.002894324058693753,0.002383118101829505,-0.0036909309644980433,0.003234459101087383,0.02,0,0.908,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004611447174488633,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC__ulm,cindex_adjusted:dorothea_AC__ulm,1000,-2.111962231508171e-4,-0.002894324058693753,0.002383118101829505,-0.0036909309644980433,0.003234459101087383,0.02,0,0.908,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004611447174488633,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC__viper,cindex_adjusted:dorothea_AC__viper,1000,-1.0299672098682278e-4,-0.0028233360682134,0.0024719109435510974,-0.0035338975649507024,0.0033427549791139152,0.02,0,0.956,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004627605706846642,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC_edgeperm__consensus,cindex_adjusted:dorothea_AC_edgeperm__consensus,1000,-6.349420418354133e-4,-0.0032228897606187525,0.0016408115821633868,-0.0038455257644864267,0.002099809896007312,0.02,0,0.668,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004147193617683665,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC_edgeperm__mlm,cindex_adjusted:dorothea_AC_edgeperm__mlm,1000,5.628513988672173e-4,-0.0020881088756507624,0.0031789926420879573,-0.002789533833980282,0.0037114852332492698,0.02,0,0.69,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004520321534980834,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC_edgeperm__norm_wsum,cindex_adjusted:dorothea_AC_edgeperm__norm_wsum,1000,-6.716492492702499e-4,-0.0032824868765279347,0.0017497651778500816,-0.003916653737719817,0.0022369041355725676,0.02,0,0.64,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004280096372723976,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC_edgeperm__ulm,cindex_adjusted:dorothea_AC_edgeperm__ulm,1000,-7.59775629058318e-4,-0.0031960291002590072,0.0015743482698498284,-0.0037771311182643206,0.0019308064284578733,0.02,0,0.59,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004101928125352333,0.962,0,FALSE,TRUE
3,cindex_adjusted,dorothea_AC_edgeperm__viper,cindex_adjusted:dorothea_AC_edgeperm__viper,1000,-8.372264940264098e-4,-0.003450057351099406,0.0016478370387973272,-0.004262860589820958,0.0021199685489704328,0.02,0,0.548,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.004397585738870674,0.962,0,FALSE,TRUE
3,cindex_cluster_only,collectri__consensus,cindex_cluster_only:collectri__consensus,1000,-0.0029852502949304703,-0.03171547726124077,0.004555719447755972,-0.036870651941607734,0.005924411250926305,0.02,0.065,0.692,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.028804751748630456,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,collectri__norm_wsum,cindex_cluster_only:collectri__norm_wsum,1000,-0.004627285840135181,-0.03397707712696456,0.0026729941389630617,-0.038152267583469006,0.004106196943282682,0.02,0.066,0.39,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.02711248389067747,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,collectri__ulm,cindex_cluster_only:collectri__ulm,1000,-0.0018643380607451256,-0.007854655502563774,0.004247511622052434,-0.03277097954792435,0.007565252226182022,0.02,0.035,0.668,TRUE,FALSE,EQUIVALENT TO ZERO: any true added value is smaller than the pre-specified SESOI,0.02520893214515447,0.99,0.12452941176470587,FALSE,FALSE
3,cindex_cluster_only,collectri__viper,cindex_cluster_only:collectri__viper,1000,-0.0041852829651211594,-0.03450391899390113,0.005406003586706312,-0.03721860322633083,0.007073801027359998,0.02,0.115,0.776,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03222349469150787,0.99,0.15818181818181817,FALSE,FALSE
3,cindex_cluster_only,collectri_edgeperm__consensus,cindex_cluster_only:collectri_edgeperm__consensus,1000,-0.007009411038487687,-0.039726034800570666,0.003910325739955475,-0.04308659121571095,0.005485754511303431,0.02,0.112,0.4,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.035196683137915206,0.99,0.15818181818181817,FALSE,FALSE
3,cindex_cluster_only,collectri_edgeperm__mlm,cindex_cluster_only:collectri_edgeperm__mlm,1000,-0.0040876694603269965,-0.034251086993487355,0.009015090164442801,-0.036785176986022856,0.010014205686133548,0.02,0.202,0.802,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.03972532594826799,0.99,0.216962962962963,FALSE,FALSE
3,cindex_cluster_only,collectri_edgeperm__norm_wsum,cindex_cluster_only:collectri_edgeperm__norm_wsum,1000,-0.008452839931742612,-0.036612558236520015,0.0014638367299948166,-0.04411925655085409,0.004731488186947472,0.02,0.066,0.156,FALSE,FALSE,"INCONCLUSIVE: cannot exclude zero, and cannot exclude a meaningful effect either -- underpowered",0.030769684573653658,0.99,0.12452941176470587,FALSE,FALSE
