model,k,term,estimate,std.error,statistic,p.value,conf.low,conf.high
T5_adjusted_for_stromal_immune,2,periodlate_gt10y:erPositive,2.2568403204969893,0.22914741894373336,3.552148876575822,3.820986039640712e-4,1.4402908300255755,3.5363192808292125
T5_adjusted_for_stromal_immune,2,periodlate_gt10y:stromal_z,1.0005460068839978,0.06589501075030975,0.008283751231854713,0.9933905983767698,0.8793203583539339,1.138484174033606
T5_adjusted_for_stromal_immune,2,periodlate_gt10y:immune_z,1.0939040323405493,0.08628615191351204,1.0401782482153048,0.2982570952847597,0.9237029222322637,1.295466327073093
T6_adjusted_for_content_and_subtype,2,clSNF_C2,1.3915692265329864,0.1297741366435077,2.546208812227303,0.010890002446977118,1.079048264856083,1.7946045374456796
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y,NA,0,NA,NA,NA,NA
T6_adjusted_for_content_and_subtype,2,erPositive,0.5970464735224176,0.1221221595629403,-4.2233147969948375,2.4073520220839156e-5,0.46995639838229736,0.7585054544902275
T6_adjusted_for_content_and_subtype,2,age,1.0402472542432455,0.0027964243399371835,14.110315375845275,3.281073621892789e-45,1.0345613685318789,1.0459643892331045
T6_adjusted_for_content_and_subtype,2,stromal_z,1.0869341376326098,0.0398681403676174,2.0909180759460466,0.036535408441278304,1.0052345487252292,1.1752737916234075
T6_adjusted_for_content_and_subtype,2,immune_z,0.9825921338193724,0.04873367879477653,-0.3603496635149125,0.7185856642333467,0.8930815150440363,1.0810741070999559
T6_adjusted_for_content_and_subtype,2,subtypeclaudin-low,0.5550375124120414,0.17834804522304115,-3.3009589583779477,9.635497633836333e-4,0.39130212352328286,0.787285888997269
T6_adjusted_for_content_and_subtype,2,subtypeHer2,1.1152453291542026,0.14326918502441166,0.7613249620884004,0.4464629945142538,0.8422081924301887,1.476798914305696
T6_adjusted_for_content_and_subtype,2,subtypeLumA,0.6933460789917437,0.17983116200453436,-2.0364991688895846,0.04170025647360382,0.4873909953688988,0.986330871561074
T6_adjusted_for_content_and_subtype,2,subtypeLumB,1.158043671499286,0.17092737756106677,0.8584469814010001,0.3906456946307153,0.8283832141146643,1.6188946398833197
T6_adjusted_for_content_and_subtype,2,subtypeNormal,0.9729463721025482,0.19015997020777176,-0.14422759067209992,0.885320754509375,0.6702308945361869,1.4123858668774039
T6_adjusted_for_content_and_subtype,2,clSNF_C2:periodlate_gt10y,0.6656624693247841,0.24092054428614917,-1.689239665845877,0.09117351038444269,0.4151281008389308,1.06739708097837
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:erPositive,1.8704625447535665,0.2444204864976845,2.5619200722032076,0.010409527159581763,1.1585050220001545,3.0199524947122076
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:stromal_z,0.9506461830845206,0.0700420618342925,-0.7226134063981032,0.46991742939657255,0.8287031653382119,1.0905330197988767
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:immune_z,1.0323728659575044,0.09011002058276894,0.35356673787285986,0.723663605492996,0.8652364221755819,1.2317948101230425
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:subtypeclaudin-low,3.015010698247078,0.38478084173901256,2.868134945403692,0.004128993820235366,1.4182827187517966,6.409363514310125
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:subtypeHer2,1.7259084941212532,0.35921854498376676,1.519280067036251,0.12869201488842977,0.853592098561096,3.489676316241917
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:subtypeLumA,3.00600550329751,0.3910528225551936,2.814484536663143,0.004885552804969755,1.3967703430884257,6.469258980595971
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:subtypeLumB,1.9243700003114186,0.38807635649785827,1.6867779514223253,0.09164605659942815,0.8994093216701347,4.117368820707805
T6_adjusted_for_content_and_subtype,2,periodlate_gt10y:subtypeNormal,2.2064792339228814,0.42278935055701206,1.8718497457912415,0.06122739379793138,0.9634316222073589,5.053343171961039
T4_no_content_adjustment,3,clSNF_C2,0.7578403845561943,0.09680022508869592,-2.8644818720590424,0.004176920618807051,0.6268754234033773,0.9161661584150506
