TF,SNF_cluster,mean_in,mean_rest,cohens_d,activity_difference,kw_stat,kw_p,FDR,k
PGR,SNF_C2,-1.1197064037285418,0.4680764211254911,-1.3685946155092223,-1.5877828248540329,301.55844130466767,1.5074481503386744e-67,4.955735794238392e-66,2
RELA,SNF_C2,2.204730098417544,-0.8000062981927467,1.361938598850454,3.0047363966102907,277.0203717932295,3.349044768287524e-62,8.807987740596188e-61,2
MYCN,SNF_C2,1.4206917389611269,-0.7005718661627178,1.3317522221847855,2.1212636051238447,288.8963881181735,8.65017529889399e-65,2.527773448454577e-63,2
RELA,SNF_C1,-1.988460889862314,1.336204211697176,-1.675880779929941,-3.32466510155949,518.6471065185174,2.3834815360640767e-113,3.134278219924261e-111,3
ETV4,SNF_C1,-1.1988572594757925,0.9826731168236161,-1.6543890218978878,-2.1815303762994085,470.41262426933463,7.09898945559438e-103,3.734068453642644e-101,3
SPIB,SNF_C1,-1.860208867615676,1.6139482956273419,-1.5024652256306008,-3.474157163243018,428.172966405702,1.0554111911048991e-93,2.5233922114598955e-92,3
JUN,SNF_C1,-1.277491172198024,0.99609421521388,-1.4853845447697331,-2.273585387411904,424.24431602369623,7.525186817691997e-93,1.6492701108774962e-91,3
NFATC1,SNF_C1,-1.3642710210494244,1.1853311338735795,-1.4696225085263739,-2.549602154923004,405.8636318281938,7.376190864722311e-89,9.515063055585567e-88,3
STAT3,SNF_C1,-1.2487021553109834,0.9610330552923712,-1.4415658239271076,-2.2097352106033545,396.6156072004601,7.516491627872736e-87,8.236822075543874e-86,3
SRF,SNF_C1,-1.1311254035598393,0.9421763910786038,-1.4223632898443015,-2.073301794638443,409.2821782438332,1.3350705735715201e-89,1.950686449162832e-88,3
JUNB,SNF_C1,-1.1971454337904683,1.0170446039618721,-1.3622086102001945,-2.2141900377523402,353.38958285797753,1.829898922191502e-77,1.2340087603496538e-76,3
HHEX,SNF_C1,0.8571038802133684,-0.7406507315984149,1.3584367513278481,1.5977546118117831,392.23686247527394,6.711931475434595e-86,6.789376838612686e-85,3
BCL6,SNF_C1,1.0850897691039347,-0.8546508089182537,1.346142117899735,1.9397405780221884,342.5496213755664,4.1332800253634477e-75,2.4156725481568594e-74,3
FOXO1,SNF_C2,1.3508264458471984,-0.5108665720400305,1.812176646556165,1.8616930178872289,456.06982983185117,9.24048509263967e-100,3.037809474205292e-98,3
THAP11,SNF_C2,2.3645949039881,-0.9154407642376022,1.7955593892866826,3.280035668225702,460.5830375722412,9.675293808690007e-101,3.6351461024078167e-99,3
E2F4,SNF_C2,-4.68510878833781,1.8065926939162888,-1.7474507443710425,-6.491701482254099,521.7593372654628,5.028048660524584e-114,1.3223767977179657e-111,3
NR2C2,SNF_C2,-2.0716756902688296,0.8259528587717997,-1.745968574214677,-2.897628549040629,466.85977045769187,4.19458436584416e-102,1.838626147028357e-100,3
GATA2,SNF_C2,1.395824083552701,-0.5212010285352254,1.6819865331854078,1.9170251120879263,422.19794264921165,2.0935417120827023e-92,4.235395925213467e-91,3
RUNX2,SNF_C2,3.0243500658167175,-0.9695430066716245,1.6324966576160038,3.993893072488342,417.948389244973,1.7525096388554676e-91,3.292214535849914e-90,3
EOMES,SNF_C2,1.6924311503110339,-0.5772203935495377,1.6033313261925333,2.2696515438605713,414.0273356851744,1.2448194843034652e-90,2.182583495812076e-89,3
RARA,SNF_C2,1.2781028743268676,-0.454418371432381,1.5938589406200554,1.7325212457592487,412.6945875755241,2.423867928309947e-90,3.749866265561859e-89,3
EBF1,SNF_C2,2.127331377891877,-0.772961632724269,1.5505905518305143,2.900293010616146,453.10068557086106,4.0778970270195795e-99,1.1916521312290547e-97,3
GATA6,SNF_C2,1.861700027548183,-0.6055625831164886,1.4775924968484602,2.4672626106646716,366.44188724621426,2.6801260216381342e-80,2.2737843344865463e-79,3
TFAP2C,SNF_C3,-1.1358876995840537,0.49824570861300516,-1.973952505302027,-1.6341334081970589,405.80448730047556,7.597578865676688e-89,9.515063055585567e-88,3
FOXA1,SNF_C3,-1.3035763487301812,0.5426005177685786,-1.827842378454054,-1.84617686649876,408.86829454634926,1.6420180493986577e-89,2.272898668378142e-88,3
E2F5,SNF_C3,1.3455964837655872,-0.596532589794026,1.8159483192566415,1.942129073559613,396.65694191568355,7.362739901123535e-87,8.236822075543874e-86,3
ATF4,SNF_C3,1.4665668704443426,-0.5975556895270793,1.607893663021022,2.064122559971422,413.1596302837911,1.920994897412269e-90,3.157635362621417e-89,3
E2F2,SNF_C3,2.4262404088416516,-1.021729419208882,1.5942090485852478,3.4479698280505335,482.69763989895364,1.5259464109274715e-105,1.0033097651848125e-103,3
E2F3,SNF_C3,1.8296636681283467,-0.8298692509707593,1.5701749405992247,2.6595329190991057,483.3736511892944,1.088291646249673e-105,9.5406900987888e-104,3
RFX1,SNF_C3,-1.3458547153914335,0.5770586557798589,-1.4922203962933218,-1.9229133711712925,306.34100951335995,3.0122776107107755e-67,1.3659120889947137e-66,3
MYCN,SNF_C3,1.488405390414482,-0.6974116443315401,1.381091187500963,2.185817034746022,437.65591591519706,9.209273539824059e-96,2.4220389409737274e-94,3
PGR,SNF_C3,-1.128764945832078,0.45175114164979857,-1.354500499206365,-1.5805160874818767,346.9831810115311,4.503597679903909e-76,2.8888931458895807e-75,3
E2F4,SNF_C3,3.725214611326662,-1.7976967959018642,1.3183958518756207,5.522911407228526,521.7593372654628,5.028048660524584e-114,1.3223767977179657e-111,3
